algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.102,18.362,0.943,0.943,0.943,0.943,0.943,0.934,0.897,0.934,0.057,0.057,0.153,0.563,0.750,0.939,88.739
Linear Regression,0.018,0.737,0.362,0.410,0.362,0.324,0.331,0.304,0.250,0.260,0.638,0.638,1.421,4.028,2.007,0.243,19.520
Logistic Regression,0.052,78.394,0.635,0.676,0.635,0.610,0.617,0.584,0.521,0.574,0.365,0.365,1.092,4.664,2.160,0.519,9.180
KNN,109.188,0.170,0.936,0.937,0.936,0.936,0.936,0.926,0.884,0.926,0.064,0.064,0.187,0.758,0.871,0.937,84.846
Random Forest,5.582,352.871,0.960,0.960,0.960,0.960,0.960,0.954,0.926,0.954,0.040,0.040,0.109,0.399,0.631,0.960,92.029
MLP,0.495,1575.658,0.856,0.856,0.856,0.853,0.854,0.834,0.765,0.833,0.144,0.144,0.445,1.980,1.407,0.841,60.390
Bagging,0.839,127.464,0.955,0.955,0.955,0.955,0.955,0.948,0.917,0.948,0.045,0.045,0.123,0.458,0.677,0.954,90.840
J48,0.079,25.567,0.944,0.944,0.944,0.944,0.944,0.935,0.899,0.935,0.056,0.056,0.151,0.560,0.748,0.940,88.793
ANN,13.413,223.350,0.678,0.687,0.678,0.660,0.661,0.631,0.559,0.626,0.322,0.322,1.036,4.735,2.176,0.591,5.279
DNN,16.742,237.009,0.788,0.786,0.788,0.780,0.781,0.756,0.677,0.754,0.212,0.212,0.670,3.036,1.742,0.751,39.268
Gradient Boosting,5.621,4264.622,0.890,0.892,0.890,0.889,0.890,0.873,0.814,0.873,0.110,0.110,0.330,1.412,1.188,0.881,71.765
XGBoost,3.838,113.168,0.944,0.945,0.944,0.944,0.944,0.935,0.899,0.935,0.056,0.056,0.153,0.587,0.766,0.944,88.271
